"Source","ID","Team","Target","Result"
"2174.png","2174","Detroit Mercy","detroitmercy.png","RENAMED"
"2181.png","2181","Drake","drake.png","RENAMED"
"2182.png","2182","Drexel","drexel.png","RENAMED"
"2184.png","2184","Duquesne","duquesne.png","RENAMED"
"219.png","219","Pennsylvania","pennsylvania.png","RENAMED"
"2193.png","2193","East Tennessee State","easttennesseestate.png","RENAMED"
"2197.png","2197","Eastern Illinois","easternillinois.png","RENAMED"
"2198.png","2198","Eastern Kentucky","easternkentucky.png","RENAMED"
"2210.png","2210","Elon","elon.png","RENAMED"
"2217.png","2217","Fairfield","fairfield.png","RENAMED"
"222.png","222","Villanova","villanova.png","RENAMED"
"2230.png","2230","Fordham","fordham.png","RENAMED"
"2239.png","2239","CSU Fullerton","csufullerton.png","RENAMED"
"2241.png","2241","Gardner-Webb","gardnerwebb.png","RENAMED"
"2244.png","2244","George Mason","georgemason.png","RENAMED"
"225.png","225","Brown","brown.png","RENAMED"
"2253.png","2253","Grand Canyon","grandcanyon.png","RENAMED"
"2261.png","2261","Hampton","hampton.png","RENAMED"
"227.png","227","Rhode Island","rhodeisland.png","RENAMED"
"2272.png","2272","High Point","highpoint.png","RENAMED"
"2275.png","2275","Hofstra","hofstra.png","RENAMED"
"2277.png","2277","Houston Baptist","houstonbaptist.png","RENAMED"
"2309.png","2309","Kent State","kentstate.png","RENAMED"
"232.png","232","Charleston","charleston.png","RENAMED"
"2320.png","2320","Lamar","lamar.png","RENAMED"
"2325.png","2325","La Salle","lasalle.png","RENAMED"
"2329.png","2329","Lehigh","lehigh.png","RENAMED"
"233.png","233","South Dakota","southdakota.png","RENAMED"
"2344.png","2344","Longwood","longwood.png","RENAMED"
"2349.png","2349","UMass Lowell","umasslowell.png","RENAMED"
"2350.png","2350","Loyola Chicago","loyolachicago.png","RENAMED"
"2351.png","2351","Loyola Marymount","loyolamarymount.png","RENAMED"
"2352.png","2352","Loyola (MD)","loyolamd.png","RENAMED"
"236.png","236","Chattanooga","chattanooga.png","RENAMED"
"2363.png","2363","Manhattan","manhattan.png","RENAMED"
"2368.png","2368","Marist","marist.png","RENAMED"
"2377.png","2377","McNeese","mcneese.png","RENAMED"
"2378.png","2378","UMBC","umbc.png","RENAMED"
"2379.png","2379","Maryland-Eastern Shore","marylandeasternshore.png","RENAMED"
"2382.png","2382","Mercer","mercer.png","RENAMED"
"2400.png","2400","Mississippi Valley State","mississippivalleystate.png","RENAMED"
"2405.png","2405","Monmouth","monmouth.png","RENAMED"
"2413.png","2413","Morehead State","moreheadstate.png","RENAMED"
"2415.png","2415","Morgan State","morganstate.png","RENAMED"
"2427.png","2427","UNC Asheville","uncasheville.png","RENAMED"
"2428.png","2428","North Carolina Central","northcarolinacentral.png","RENAMED"
"2430.png","2430","UNC Greensboro","uncgreensboro.png","RENAMED"
"2437.png","2437","Omaha","omaha.png","RENAMED"
"2443.png","2443","New Orleans","neworleans.png","RENAMED"
"2447.png","2447","Nicholls","nicholls.png","RENAMED"
"2448.png","2448","North Carolina A&T","northcarolinaat.png","RENAMED"
"2449.png","2449","North Dakota State","northdakotastate.png","RENAMED"
"2450.png","2450","Norfolk State","norfolkstate.png","RENAMED"
"2458.png","2458","Northern Colorado","northerncolorado.png","RENAMED"
"2460.png","2460","Northern Iowa","northerniowa.png","RENAMED"
"2463.png","2463","CSU Northridge","csunorthridge.png","RENAMED"
"2464.png","2464","Northern Arizona","northernarizona.png","RENAMED"
"2466.png","2466","Northwestern State","northwesternstate.png","RENAMED"
"2473.png","2473","Oakland","oakland.png","RENAMED"
"2492.png","2492","Pepperdine","pepperdine.png","RENAMED"
"250.png","250","UT Arlington","utarlington.png","RENAMED"
"2501.png","2501","Portland","portland.png","RENAMED"
"2502.png","2502","Portland State","portlandstate.png","RENAMED"
"2504.png","2504","Prairie View A&M","prairieviewam.png","RENAMED"
"2506.png","2506","Presbyterian","presbyterian.png","RENAMED"
"2507.png","2507","Providence","providence.png","RENAMED"
"2514.png","2514","Quinnipiac","quinnipiac.png","RENAMED"
"2515.png","2515","Radford","radford.png","RENAMED"
"2520.png","2520","Rider","rider.png","RENAMED"
"2523.png","2523","Robert Morris","robertmorris.png","RENAMED"
"2529.png","2529","Sacred Heart","sacredheart.png","RENAMED"
"253.png","253","Southern Utah","southernutah.png","RENAMED"
"2535.png","2535","Samford","samford.png","RENAMED"
"2539.png","2539","San Francisco","sanfrancisco.png","RENAMED"
"2540.png","2540","UC Santa Barbara","ucsantabarbara.png","RENAMED"
"2541.png","2541","Santa Clara","santaclara.png","RENAMED"
"2545.png","2545","SE Louisiana","selouisiana.png","RENAMED"
"2546.png","2546","Southeast Missouri State","southeastmissouristate.png","RENAMED"
"2547.png","2547","Seattle U","seattleu.png","RENAMED"
"2550.png","2550","Seton Hall","setonhall.png","RENAMED"
"2561.png","2561","Siena","siena.png","RENAMED"
"2565.png","2565","SIU Edwardsville","siuedwardsville.png","RENAMED"
"2569.png","2569","South Carolina State","southcarolinastate.png","RENAMED"
"257.png","257","Richmond","richmond.png","RENAMED"
"2571.png","2571","South Dakota State","southdakotastate.png","RENAMED"
"2572.png","2572","Southern Miss","southernmiss.png","RENAMED"
"2582.png","2582","Southern","southern.png","RENAMED"
"2597.png","2597","St. Francis (BKN)","stfrancisbkn.png","RENAMED"
"2598.png","2598","St. Francis (PA)","stfrancispa.png","RENAMED"
"2599.png","2599","St. John's","stjohns.png","RENAMED"
"2603.png","2603","Saint Joseph's","saintjosephs.png","RENAMED"
"2608.png","2608","Saint Mary's","saintmarys.png","RENAMED"
"261.png","261","Vermont","vermont.png","RENAMED"
"2612.png","2612","Saint Peter's","saintpeters.png","RENAMED"
"2617.png","2617","Stephen F. Austin","stephenfaustin.png","RENAMED"
"2619.png","2619","Stony Brook","stonybrook.png","RENAMED"
"2623.png","2623","Missouri State","missouristate.png","RENAMED"
"2627.png","2627","Tarleton","tarleton.png","RENAMED"
"2630.png","2630","UT Martin","utmartin.png","RENAMED"
"2634.png","2634","Tennessee State","tennesseestate.png","RENAMED"
"2635.png","2635","Tennessee Tech","tennesseetech.png","RENAMED"
"2636.png","2636","UTSA","utsa.png","RENAMED"
"2640.png","2640","Texas Southern","texassouthern.png","RENAMED"
"2643.png","2643","The Citadel","thecitadel.png","RENAMED"
"2674.png","2674","Valparaiso","valparaiso.png","RENAMED"
"2681.png","2681","Wagner","wagner.png","RENAMED"
"269.png","269","Marquette","marquette.png","RENAMED"
"2692.png","2692","Weber State","weberstate.png","RENAMED"
"27.png","27","UC Riverside","ucriverside.png","RENAMED"
"270.png","270","Milwaukee","milwaukee.png","RENAMED"
"2710.png","2710","Western Illinois","westernillinois.png","RENAMED"
"2711.png","2711","Western Michigan","westernmichigan.png","RENAMED"
"2717.png","2717","Western Carolina","westerncarolina.png","RENAMED"
"2729.png","2729","William & Mary","williammary.png","RENAMED"
"2737.png","2737","Winthrop","winthrop.png","RENAMED"
"2739.png","2739","Green Bay","greenbay.png","RENAMED"
"2747.png","2747","Wofford","wofford.png","RENAMED"
"2750.png","2750","Wright State","wrightstate.png","RENAMED"
"2752.png","2752","Xavier","xavier.png","RENAMED"
"2754.png","2754","Youngstown State","youngstownstate.png","RENAMED"
"2755.png","2755","Grambling","grambling.png","RENAMED"
"2771.png","2771","Merrimack","merrimack.png","RENAMED"
"279.png","279","Pacific","pacific.png","RENAMED"
"28.png","28","UC San Diego","ucsandiego.png","RENAMED"
"2803.png","2803","Bryant","bryant.png","RENAMED"
"282.png","282","Indiana State","indianastate.png","RENAMED"
"2856.png","2856","California Baptist","californiabaptist.png","RENAMED"
"2870.png","2870","Purdue Fort Wayne","purduefortwayne.png","RENAMED"
"288.png","288","Lipscomb","lipscomb.png","RENAMED"
"2885.png","2885","NJIT","njit.png","RENAMED"
"2900.png","2900","St. Thomas - Minnesota","stthomasminnesota.png","RENAMED"
"2908.png","2908","South Carolina Upstate","southcarolinaupstate.png","RENAMED"
"2916.png","2916","Incarnate Word","incarnateword.png","RENAMED"
"292.png","292","UT Rio Grande Valley","utriograndevalley.png","RENAMED"
"2934.png","2934","CSU Bakersfield","csubakersfield.png","RENAMED"
"294.png","294","Jacksonville","jacksonville.png","RENAMED"
"299.png","299","Long Beach State","longbeachstate.png","RENAMED"
"300.png","300","UC Irvine","ucirvine.png","RENAMED"
"301.png","301","San Diego","sandiego.png","RENAMED"
"302.png","302","UC Davis","ucdavis.png","RENAMED"
"304.png","304","Idaho State","idahostate.png","RENAMED"
"305.png","305","DePaul","depaul.png","RENAMED"
"3084.png","3084","Utah Valley","utahvalley.png","RENAMED"
"3101.png","3101","Dixie State","dixiestate.png","RENAMED"
"311.png","311","Maine","maine.png","RENAMED"
"315.png","315","Niagara","niagara.png","RENAMED"
"322.png","322","Lafayette","lafayette.png","RENAMED"
"325.png","325","Cleveland State","clevelandstate.png","RENAMED"
"331.png","331","Eastern Washington","easternwashington.png","RENAMED"
"338.png","338","Kennesaw State","kennesawstate.png","RENAMED"
"339.png","339","Evansville","evansville.png","RENAMED"
"350.png","350","UNC Wilmington","uncwilmington.png","RENAMED"
"357.png","357","Texas A&M-CC","texasamcc.png","RENAMED"
"399.png","399","Albany","albany.png","RENAMED"
"42.png","42","Hartford","hartford.png","RENAMED"
"44.png","44","American University","americanuniversity.png","RENAMED"
"45.png","45","George Washington","georgewashington.png","RENAMED"
"46.png","46","Georgetown","georgetown.png","RENAMED"
"47.png","47","Howard","howard.png","RENAMED"
"48.png","48","Delaware","delaware.png","RENAMED"
"56.png","56","Stetson","stetson.png","RENAMED"
"70.png","70","Idaho","idaho.png","RENAMED"
"71.png","71","Bradley","bradley.png","RENAMED"
"79.png","79","Southern Illinois","southernillinois.png","RENAMED"
"82.png","82","UIC","uic.png","RENAMED"
"85.png","85","IUPUI","iupui.png","RENAMED"
"91.png","91","Bellarmine","bellarmine.png","RENAMED"
"93.png","93","Murray State","murraystate.png","RENAMED"
"94.png","94","Northern Kentucky","northernkentucky.png","RENAMED"
