"Source","ID","Team","Target","Action"
"2130.png","2130","Chicago State","chicagostate.png","RENAME"
"2142.png","2142","Colgate","colgate.png","RENAME"
"2154.png","2154","Coppin State","coppinstate.png","RENAME"
"2166.png","2166","Davidson","davidson.png","RENAME"
"2168.png","2168","Dayton","dayton.png","RENAME"
"2169.png","2169","Delaware State","delawarestate.png","RENAME"
"2172.png","2172","Denver","denver.png","RENAME"
"2174.png","2174","Detroit Mercy","detroitmercy.png","RENAME"
"2181.png","2181","Drake","drake.png","RENAME"
"2182.png","2182","Drexel","drexel.png","RENAME"
"2184.png","2184","Duquesne","duquesne.png","RENAME"
"219.png","219","Pennsylvania","pennsylvania.png","RENAME"
"2193.png","2193","East Tennessee State","easttennesseestate.png","RENAME"
"2197.png","2197","Eastern Illinois","easternillinois.png","RENAME"
"2198.png","2198","Eastern Kentucky","easternkentucky.png","RENAME"
"2210.png","2210","Elon","elon.png","RENAME"
"2217.png","2217","Fairfield","fairfield.png","RENAME"
"222.png","222","Villanova","villanova.png","RENAME"
"2230.png","2230","Fordham","fordham.png","RENAME"
"2239.png","2239","CSU Fullerton","csufullerton.png","RENAME"
"2241.png","2241","Gardner-Webb","gardnerwebb.png","RENAME"
"2244.png","2244","George Mason","georgemason.png","RENAME"
"225.png","225","Brown","brown.png","RENAME"
"2253.png","2253","Grand Canyon","grandcanyon.png","RENAME"
"2261.png","2261","Hampton","hampton.png","RENAME"
"227.png","227","Rhode Island","rhodeisland.png","RENAME"
"2272.png","2272","High Point","highpoint.png","RENAME"
"2275.png","2275","Hofstra","hofstra.png","RENAME"
"2277.png","2277","Houston Baptist","houstonbaptist.png","RENAME"
"2309.png","2309","Kent State","kentstate.png","RENAME"
"232.png","232","Charleston","charleston.png","RENAME"
"2320.png","2320","Lamar","lamar.png","RENAME"
"2325.png","2325","La Salle","lasalle.png","RENAME"
"2329.png","2329","Lehigh","lehigh.png","RENAME"
"233.png","233","South Dakota","southdakota.png","RENAME"
"2344.png","2344","Longwood","longwood.png","RENAME"
"2349.png","2349","UMass Lowell","umasslowell.png","RENAME"
"2350.png","2350","Loyola Chicago","loyolachicago.png","RENAME"
"2351.png","2351","Loyola Marymount","loyolamarymount.png","RENAME"
"2352.png","2352","Loyola (MD)","loyolamd.png","RENAME"
"236.png","236","Chattanooga","chattanooga.png","RENAME"
"2363.png","2363","Manhattan","manhattan.png","RENAME"
"2368.png","2368","Marist","marist.png","RENAME"
"2377.png","2377","McNeese","mcneese.png","RENAME"
"2378.png","2378","UMBC","umbc.png","RENAME"
"2379.png","2379","Maryland-Eastern Shore","marylandeasternshore.png","RENAME"
"2382.png","2382","Mercer","mercer.png","RENAME"
"2400.png","2400","Mississippi Valley State","mississippivalleystate.png","RENAME"
"2405.png","2405","Monmouth","monmouth.png","RENAME"
"2413.png","2413","Morehead State","moreheadstate.png","RENAME"
"2415.png","2415","Morgan State","morganstate.png","RENAME"
"2427.png","2427","UNC Asheville","uncasheville.png","RENAME"
"2428.png","2428","North Carolina Central","northcarolinacentral.png","RENAME"
"2430.png","2430","UNC Greensboro","uncgreensboro.png","RENAME"
"2437.png","2437","Omaha","omaha.png","RENAME"
"2443.png","2443","New Orleans","neworleans.png","RENAME"
"2447.png","2447","Nicholls","nicholls.png","RENAME"
"2448.png","2448","North Carolina A&T","northcarolinaat.png","RENAME"
"2449.png","2449","North Dakota State","northdakotastate.png","RENAME"
"2450.png","2450","Norfolk State","norfolkstate.png","RENAME"
"2458.png","2458","Northern Colorado","northerncolorado.png","RENAME"
"2460.png","2460","Northern Iowa","northerniowa.png","RENAME"
"2463.png","2463","CSU Northridge","csunorthridge.png","RENAME"
"2464.png","2464","Northern Arizona","northernarizona.png","RENAME"
"2466.png","2466","Northwestern State","northwesternstate.png","RENAME"
"2473.png","2473","Oakland","oakland.png","RENAME"
"2492.png","2492","Pepperdine","pepperdine.png","RENAME"
"250.png","250","UT Arlington","utarlington.png","RENAME"
"2501.png","2501","Portland","portland.png","RENAME"
"2502.png","2502","Portland State","portlandstate.png","RENAME"
"2504.png","2504","Prairie View A&M","prairieviewam.png","RENAME"
"2506.png","2506","Presbyterian","presbyterian.png","RENAME"
"2507.png","2507","Providence","providence.png","RENAME"
"2514.png","2514","Quinnipiac","quinnipiac.png","RENAME"
"2515.png","2515","Radford","radford.png","RENAME"
"2520.png","2520","Rider","rider.png","RENAME"
"2523.png","2523","Robert Morris","robertmorris.png","RENAME"
"2529.png","2529","Sacred Heart","sacredheart.png","RENAME"
"253.png","253","Southern Utah","southernutah.png","RENAME"
"2535.png","2535","Samford","samford.png","RENAME"
"2539.png","2539","San Francisco","sanfrancisco.png","RENAME"
"2540.png","2540","UC Santa Barbara","ucsantabarbara.png","RENAME"
"2541.png","2541","Santa Clara","santaclara.png","RENAME"
"2545.png","2545","SE Louisiana","selouisiana.png","RENAME"
"2546.png","2546","Southeast Missouri State","southeastmissouristate.png","RENAME"
"2547.png","2547","Seattle U","seattleu.png","RENAME"
"2550.png","2550","Seton Hall","setonhall.png","RENAME"
"2561.png","2561","Siena","siena.png","RENAME"
"2565.png","2565","SIU Edwardsville","siuedwardsville.png","RENAME"
"2569.png","2569","South Carolina State","southcarolinastate.png","RENAME"
"257.png","257","Richmond","richmond.png","RENAME"
"2571.png","2571","South Dakota State","southdakotastate.png","RENAME"
"2572.png","2572","Southern Miss","southernmiss.png","RENAME"
"2582.png","2582","Southern","southern.png","RENAME"
"2597.png","2597","St. Francis (BKN)","stfrancisbkn.png","RENAME"
"2598.png","2598","St. Francis (PA)","stfrancispa.png","RENAME"
"2599.png","2599","St. John's","stjohns.png","RENAME"
"2603.png","2603","Saint Joseph's","saintjosephs.png","RENAME"
"2608.png","2608","Saint Mary's","saintmarys.png","RENAME"
"261.png","261","Vermont","vermont.png","RENAME"
"2612.png","2612","Saint Peter's","saintpeters.png","RENAME"
"2617.png","2617","Stephen F. Austin","stephenfaustin.png","RENAME"
"2619.png","2619","Stony Brook","stonybrook.png","RENAME"
"2623.png","2623","Missouri State","missouristate.png","RENAME"
"2627.png","2627","Tarleton","tarleton.png","RENAME"
"2630.png","2630","UT Martin","utmartin.png","RENAME"
"2634.png","2634","Tennessee State","tennesseestate.png","RENAME"
"2635.png","2635","Tennessee Tech","tennesseetech.png","RENAME"
"2636.png","2636","UTSA","utsa.png","RENAME"
"2640.png","2640","Texas Southern","texassouthern.png","RENAME"
"2643.png","2643","The Citadel","thecitadel.png","RENAME"
"2674.png","2674","Valparaiso","valparaiso.png","RENAME"
"2681.png","2681","Wagner","wagner.png","RENAME"
"269.png","269","Marquette","marquette.png","RENAME"
"2692.png","2692","Weber State","weberstate.png","RENAME"
"27.png","27","UC Riverside","ucriverside.png","RENAME"
"270.png","270","Milwaukee","milwaukee.png","RENAME"
"2710.png","2710","Western Illinois","westernillinois.png","RENAME"
"2711.png","2711","Western Michigan","westernmichigan.png","RENAME"
"2717.png","2717","Western Carolina","westerncarolina.png","RENAME"
"2729.png","2729","William & Mary","williammary.png","RENAME"
"2737.png","2737","Winthrop","winthrop.png","RENAME"
"2739.png","2739","Green Bay","greenbay.png","RENAME"
"2747.png","2747","Wofford","wofford.png","RENAME"
"2750.png","2750","Wright State","wrightstate.png","RENAME"
"2752.png","2752","Xavier","xavier.png","RENAME"
"2754.png","2754","Youngstown State","youngstownstate.png","RENAME"
"2755.png","2755","Grambling","grambling.png","RENAME"
"2771.png","2771","Merrimack","merrimack.png","RENAME"
"279.png","279","Pacific","pacific.png","RENAME"
"28.png","28","UC San Diego","ucsandiego.png","RENAME"
"2803.png","2803","Bryant","bryant.png","RENAME"
"282.png","282","Indiana State","indianastate.png","RENAME"
"2856.png","2856","California Baptist","californiabaptist.png","RENAME"
"2870.png","2870","Purdue Fort Wayne","purduefortwayne.png","RENAME"
"288.png","288","Lipscomb","lipscomb.png","RENAME"
"2885.png","2885","NJIT","njit.png","RENAME"
"2900.png","2900","St. Thomas - Minnesota","stthomasminnesota.png","RENAME"
"2908.png","2908","South Carolina Upstate","southcarolinaupstate.png","RENAME"
"2916.png","2916","Incarnate Word","incarnateword.png","RENAME"
"292.png","292","UT Rio Grande Valley","utriograndevalley.png","RENAME"
"2934.png","2934","CSU Bakersfield","csubakersfield.png","RENAME"
"294.png","294","Jacksonville","jacksonville.png","RENAME"
"299.png","299","Long Beach State","longbeachstate.png","RENAME"
"300.png","300","UC Irvine","ucirvine.png","RENAME"
"301.png","301","San Diego","sandiego.png","RENAME"
"302.png","302","UC Davis","ucdavis.png","RENAME"
"304.png","304","Idaho State","idahostate.png","RENAME"
"305.png","305","DePaul","depaul.png","RENAME"
"3084.png","3084","Utah Valley","utahvalley.png","RENAME"
"3101.png","3101","Dixie State","dixiestate.png","RENAME"
"311.png","311","Maine","maine.png","RENAME"
"315.png","315","Niagara","niagara.png","RENAME"
"322.png","322","Lafayette","lafayette.png","RENAME"
"325.png","325","Cleveland State","clevelandstate.png","RENAME"
"331.png","331","Eastern Washington","easternwashington.png","RENAME"
"338.png","338","Kennesaw State","kennesawstate.png","RENAME"
"339.png","339","Evansville","evansville.png","RENAME"
"350.png","350","UNC Wilmington","uncwilmington.png","RENAME"
"357.png","357","Texas A&M-CC","texasamcc.png","RENAME"
"399.png","399","Albany","albany.png","RENAME"
"42.png","42","Hartford","hartford.png","RENAME"
"44.png","44","American University","americanuniversity.png","RENAME"
"45.png","45","George Washington","georgewashington.png","RENAME"
"46.png","46","Georgetown","georgetown.png","RENAME"
"47.png","47","Howard","howard.png","RENAME"
"48.png","48","Delaware","delaware.png","RENAME"
"56.png","56","Stetson","stetson.png","RENAME"
"70.png","70","Idaho","idaho.png","RENAME"
"71.png","71","Bradley","bradley.png","RENAME"
"79.png","79","Southern Illinois","southernillinois.png","RENAME"
"82.png","82","UIC","uic.png","RENAME"
"85.png","85","IUPUI","iupui.png","RENAME"
"91.png","91","Bellarmine","bellarmine.png","RENAME"
"93.png","93","Murray State","murraystate.png","RENAME"
"94.png","94","Northern Kentucky","northernkentucky.png","RENAME"
